id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-11-05T02:01:41;payment unleash Jamaican Dollar;1
2;Rest;2020-11-05T21:18:11;Plains;2
3;Quality Plastic plum;2020-11-05T01:38:33;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-11-05T22:05:45;Architect SSL;4
5;zero tolerance;2020-11-05T19:02:04;user-facing CSS;5
6;ADP Ouguiya;2020-11-05T14:58:32;Garden;6
7;auxiliary;2020-11-05T23:14:32;functionalities Bedfordshire withdrawal;7
8;Data;2020-11-05T02:12:33;Viaduct hybrid;8
9;mesh;2020-11-06T00:38:12;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-11-05T22:37:06;Re-engineered withdrawal Ball;10
